insider,len,mo2_sum,mo2_per_trade,mo2_ratio,mo6_sum,mo6_per_trade,mo6_ratio,year1_sum,year1_per_trade,year1_ratio
galbraith daniel,1,0.026236585391465055,0.026236585391465055,100,0.0,0.0,100,0.0,0.0,100
cohen jay a,1,0.17833642207401745,0.17833642207401745,100,-0.1876121751628723,-0.1876121751628723,100,0.0,0.0,100
casey phillip e,1,0.0025477683018455786,0.0025477683018455786,100,-0.3605095488008821,-0.3605095488008821,100,0.6273885062076606,0.6273885062076606,100
sullivan chris thomas,1,0.0025477683018455786,0.0025477683018455786,100,-0.3605095488008821,-0.3605095488008821,100,0.6273885062076606,0.6273885062076606,100
hale bradford,1,0.0025477683018455786,0.0025477683018455786,100,-0.3605095488008821,-0.3605095488008821,100,0.6273885062076606,0.6273885062076606,100
finney joseph d,1,0.0025477683018455786,0.0025477683018455786,100,-0.3605095488008821,-0.3605095488008821,100,0.6273885062076606,0.6273885062076606,100
roche james morgan,1,0.0025477683018455786,0.0025477683018455786,100,-0.3605095488008821,-0.3605095488008821,100,0.6273885062076606,0.6273885062076606,100
eddy robert d,1,0.0025477683018455786,0.0025477683018455786,100,-0.3605095488008821,-0.3605095488008821,100,0.6273885062076606,0.6273885062076606,100
valentine john a.,4,-0.15584516072567883,-0.03896129018141971,50,0.0,0.0,50,0.0,0.0,50
gould matthew j,5,0.5038912237150532,0.10077824474301064,80,0.9125018743908946,0.1825003748781789,80,2.3773683711705975,0.4754736742341195,80
gould jeffrey alan,2,0.2628172592928892,0.1314086296464446,100,0.0,0.0,100,0.0,0.0,100
gould investors l p,2,0.2628172592928892,0.1314086296464446,100,0.0,0.0,100,0.0,0.0,100
gould fredric h,2,0.06511723641826307,0.032558618209131536,100,0.34550494626285627,0.17275247313142814,100,0.5545578315024609,0.2772789157512304,100
simon jonathan h,1,0.19190968390317092,0.19190968390317092,100,0.41486357478219577,0.41486357478219577,100,0.6547507020900001,0.6547507020900001,100
grassi louis c,1,-0.050293408727694576,-0.050293408727694576,0,0.15088006630474474,0.15088006630474474,0,0.259010903063205,0.259010903063205,0
gould jeffrey,2,0.2628172592928892,0.1314086296464446,100,0.0,0.0,100,0.0,0.0,100
taylor james m jr,5,-0.1889882660935589,-0.03779765321871178,40,0.3881929458121606,0.07763858916243212,40,1.331163451487769,0.2662326902975538,40
crosland sheryl maxwell,2,0.02768185385182914,0.01384092692591457,50,0.08377479154932528,0.04188739577466264,50,0.8921333349295164,0.4460666674647582,50
schreiber john g,1,0.1714285399174663,0.1714285399174663,100,0.09795915639915151,0.09795915639915151,100,0.24149661474807396,0.24149661474807396,100
greenesulzberger gabrielle,2,-0.20123860729248344,-0.10061930364624172,0,0.1179272715017658,0.0589636357508829,0,0.06285127501523209,0.031425637507616046,0
horgan mark,2,0.015057398902582411,0.007528699451291206,50,0.061567636421125255,0.030783818210562627,50,0.11234602876932237,0.056173014384661185,50
